Note,ADULT_CONTENT,HEALTH,DRUGS_ALCOHOL_GAMBLING,RACE,VIOLENCE_CRIME,POLITICS,RELATION,LOCATION
﻿ bra,1,0,0,0,0,0,0,0
jungle booby,1,0,0,0,0,0,0,0
buy urself bomb bish,1,0,0,0,0,0,0,0
gay rights,1,0,0,0,0,0,0,0
want money bastard,1,0,0,0,0,0,0,0
sexual exploration,1,0,0,0,0,0,0,0
aussie babe,1,0,0,1,0,0,0,0
awesome shot girl 1010 recommend 4 x2 strawberry bombs,1,0,0,0,0,0,0,0
da bomb,1,0,0,0,0,0,0,0
fatass,1,0,0,0,0,0,0,0
make everyone car bombs,1,0,0,0,0,0,0,0
stop bitching,1,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0
dumbass management,1,0,0,0,0,0,0,0
homo,1,0,0,0,0,0,0,0
amateur night money,1,0,0,0,0,0,0,0
pimp,1,0,0,0,0,0,0,0
adult diapers,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
bomb,1,0,0,0,0,0,0,0
fuk ya,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
fuk quanza,1,0,0,0,0,0,0,0
read ur gay,1,0,0,0,0,0,0,0
adult things,1,0,0,0,0,0,0,0
adult things,1,0,0,0,0,0,0,0
dat auto glass sorry happened babe,1,0,0,0,0,0,0,0
blowjobs,1,0,0,0,0,0,0,0
ally nash bash,1,0,0,0,0,0,0,0
coitus,1,0,0,0,0,0,0,0
pimp,1,0,0,0,0,0,0,0
adult stuff,1,0,0,0,0,0,0,0
penis ˈpēnis noun male genital organ higher vertebrates carrying duct transfer sperm copulation humans mammals consists largely erectile ti,1,0,0,0,0,0,0,0
ssue serves also elimination urine,1,0,0,0,0,0,0,0
bitchin austrian brunch,1,0,0,0,0,0,0,0
strippers blow ny treat yo self,1,0,0,0,0,0,0,0
adult beverages,1,0,0,0,0,0,0,0
homo,1,0,0,0,0,0,0,0
bull sperm,1,0,0,0,0,0,0,0
male strippers,1,0,0,0,0,0,0,0
sexual pleasure,1,0,0,0,0,0,0,0
bitching lot,1,0,0,0,0,0,0,0
bomb boss gift,1,0,0,0,0,0,0,0
food strippers,1,0,0,0,0,0,0,0
sexual harrassment training,1,0,0,0,0,0,0,0
got ta wash balls,1,0,0,0,0,0,0,0
blow,1,0,0,0,0,0,0,0
arrogant bastard,1,0,0,0,0,0,0,0
mount gay,1,0,0,0,0,0,0,0
emu babies,1,0,0,0,0,0,0,0
hook j cee,1,0,0,0,0,0,0,0
blowjobs,1,0,0,0,0,0,0,0
fuc lucky got paid,1,0,0,0,0,0,0,0
cause gay,1,0,0,0,0,0,0,0
bomb,1,0,0,0,0,0,0,0
better eat sounds bomb right boba wings beer,1,0,0,0,0,0,0,0
da bomb,1,0,0,0,0,0,0,0
strippers,1,0,0,0,0,0,0,0
fatass,1,0,0,0,0,0,0,0
got adhd fuk,1,0,0,0,0,0,0,0
bitching,1,0,0,0,0,0,0,0
sluts canes,1,0,0,0,0,0,0,0
using girlfriend girlfriend prove family gay anything wrong gay needed girlfriend day,1,0,0,0,0,0,0,0
sexual attraction,1,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0
adult life stuff,1,0,0,0,0,0,0,0
fuc,1,0,0,0,0,0,0,0
jackass,1,0,0,0,0,0,0,0
hook baby,1,0,0,0,0,0,0,0
pimp daddy lashes,1,0,0,0,0,0,0,0
adult life,1,0,0,0,0,0,0,0
